Term,CRN,CourseTitle,Subject,CourseNumber,Section,SUBJ_NMBR,SUBJ_NMBR_SECT,Xlst_Group_Identifier,Course_Campus,Course_Campus_Name,Max_Enrl,Enrl_Actual,Seats_Avail,Reserved_Seating_Ind,Wait_List_Count_for_Section,RegStatusCode,RegStatusDesc,College_of_the_Course,StudentLevel,College_of_the_Student,Major,Student_Campus,TotalSemesterHours,TotalOnlineHours,Course_Location,Part_of_term_code,Schedule_type_code,Schedule_type_desc
202510,10895,INTRO TO THE VISUAL ARTS,ART,101,1,ART-101,ART-101-01,,1,CHICAGO CAMPUS,50,45,5,,0,RE,**Registered**,,Undergraduate,W E Heller Col of Business,"Digital, Adv, & Public Rel",CHICAGO CAMPUS,16,,2: Schaumburg Course,1,A,Lecture
202510,12199,FIRST YEAR SUCCESS COURSE,FYS,101,01X,FYS-101,FYS-101-01X,,1,CHICAGO CAMPUS,25,21,4,,0,RE,**Registered**,,Undergraduate,W E Heller Col of Business,"Digital, Adv, & Public Rel",CHICAGO CAMPUS,16,,2: Schaumburg Course,1,A,Lecture
202510,12427,INTRO TO ENVIRONMENTAL SCI,PHSC,105,2,PHSC-105,PHSC-105-02,,1,CHICAGO CAMPUS,45,41,4,,0,RE,**Registered**,,Undergraduate,W E Heller Col of Business,"Digital, Adv, & Public Rel",CHICAGO CAMPUS,16,,2: Schaumburg Course,1,A,Lecture
202510,12493,PUBLIC SPEAKING,COMM,101,3,COMM-101,COMM-101-03,,1,CHICAGO CAMPUS,20,19,1,,0,RE,**Registered**,,Undergraduate,W E Heller Col of Business,"Digital, Adv, & Public Rel",CHICAGO CAMPUS,16,,2: Schaumburg Course,1,A,Lecture
202510,13296,COMPI: CRITICAL READ & WRITING,ENG,101,06B,ENG-101,ENG-101-06B,,1,CHICAGO CAMPUS,24,22,2,,0,RE,**Registered**,,Undergraduate,W E Heller Col of Business,"Digital, Adv, & Public Rel",CHICAGO CAMPUS,16,,2: Schaumburg Course,1,A,Lecture
202510,14599,PHILOSOPHIES OF LIFE,PHIL,102,1,PHIL-102,PHIL-102-01,,1,CHICAGO CAMPUS,40,31,9,,0,RE,**Registered**,,Undergraduate,W E Heller Col of Business,"Digital, Adv, & Public Rel",CHICAGO CAMPUS,16,,2: Schaumburg Course,1,A,Lecture
202510,11029,PRINCIPLES OF FINANCE,FIN,311,1,FIN-311,FIN-311-01,,1,CHICAGO CAMPUS,40,36,4,,0,RW,Web Registered,W E Heller Col of Business,Undergraduate,W E Heller Col of Business,Management,CHICAGO CAMPUS,16,10,2: Schaumburg Course,1,A,Lecture
202510,11041,HUMAN RESOURCE MANAGEMENT,HRM,311,1,HRM-311,HRM-311-01,,1,CHICAGO CAMPUS,35,8,27,,0,RW,Web Registered,W E Heller Col of Business,Undergraduate,W E Heller Col of Business,Management,CHICAGO CAMPUS,16,10,2: Schaumburg Course,1,A,Lecture
202510,11059,OPERATIONS MANAGEMENT,MGMT,300,98,MGMT-300,MGMT-300-98,,8,ONLINE,35,30,5,,0,RW,Web Registered,W E Heller Col of Business,Undergraduate,W E Heller Col of Business,Management,CHICAGO CAMPUS,16,10,3: Online Course,1,D,Online
202510,13369,TRANSFER SUCCESS 101,TRS,101,98G,TRS-101,TRS-101-98G,,8,ONLINE,50,40,10,,0,RW,Web Registered,,Undergraduate,W E Heller Col of Business,Management,CHICAGO CAMPUS,16,10,3: Online Course,1,D,Online
