SSRMEET_SUN_DAY,SSRMEET_MON_DAY,SSRMEET_TUE_DAY,SSRMEET_WED_DAY,SSRMEET_THU_DAY,SSRMEET_FRI_DAY,SSRMEET_SAT_DAY,Campus,CRN,Subject,CourseNumber,SectNumber,MeetingTimeGroup,CrosslistGroup,CourseTitle,Instructor,RoomCapacity,ActualEnrollment,SeatsAvailable,BeginTime,EndTime,Building,Room
,,T,,,,,CHICAGO CAMPUS,11099,IMC,363,1,Day,A2,LAW AND ETHICS,,18,0,30,1400,1630,Auditorium Building,360
,,T,,,,,CHICAGO CAMPUS,12482,JMS,363,1,Day,A2,LAW AND ETHICS,,25,0,30,1400,1630,Auditorium Building,1011
,,T,,R,,,CHICAGO CAMPUS,14224,MTA,301,1,Day,AB,INSTRUMENTATION/ORCHESTRATION,,16,0,15,930,1045,Auditorium Building,652
,,T,,R,,,CHICAGO CAMPUS,14225,MTA,401,1,Day,AB,INSTRUMENTATION/ORCHESTRATION,,16,0,15,930,1045,Auditorium Building,652
,,,W,,,,CHICAGO CAMPUS,13864,ART,301,1,Day,AH,IPHONE/DEMOCRATIC CAMERA,,20,0,16,1400,1630,Auditorium Building,362
,,,W,,,,CHICAGO CAMPUS,12463,JMS,330,1,Day,AH,IPHONE/DEMOCRATIC CAMERA,,20,0,16,1400,1630,Auditorium Building,362
,,,W,,,,CHICAGO CAMPUS,10773,MCMP,225,1,Day,AI,COMPOSITION SEMINAR,,30,0,20,1400,1515,Auditorium Building,964
,,,W,,,,CHICAGO CAMPUS,14327,MCMP,400,1,Day,AI,COMPOSITION SEMINAR,,30,0,20,1400,1515,Auditorium Building,964
,,T,,R,,,CHICAGO CAMPUS,13465,ENG,223,1,Day,AL,WRITING FOR NONPROFITS,,26,0,25,1400,1515,Auditorium Building,414
,,T,,R,,,CHICAGO CAMPUS,14157,SUST,261,1,Day,AL,WRITING FOR NONPROFITS,,26,0,25,1400,1515,Auditorium Building,414
,,T,,R,,,CHICAGO CAMPUS,11489,ACSC,309,1,Day,AM,DATA MINING,,50,0,30,1400,1515,Auditorium Building,426
,,T,,R,,,CHICAGO CAMPUS,11620,CST,309,1,Day,AM,DATA MINING,,50,0,30,1400,1515,Auditorium Building,426
,,T,,R,,,CHICAGO CAMPUS,11624,CST,421,1,Day,AM,DATA MINING,,50,0,30,1400,1515,Auditorium Building,426
,,T,,R,,,CHICAGO CAMPUS,11491,MATH,309,1,Day,AM,DATA MINING,,50,0,30,1400,1515,Auditorium Building,426
,,T,,R,,,CHICAGO CAMPUS,11493,MATH,409,1,Day,AM,DATA MINING,,50,0,30,1400,1515,Auditorium Building,426
,M,,W,,,,CHICAGO CAMPUS,11622,ECON,234,2,Day,AP,ELEMENTARY STATISTICS,,50,0,30,1100,1215,Auditorium Building,528
,M,,W,,,,CHICAGO CAMPUS,11621,MATH,217,2,Day,AP,ELEMENTARY STATISTICS,,50,0,30,1100,1215,Auditorium Building,528
,M,,W,,,,CHICAGO CAMPUS,11723,SOC,291,2,Day,AP,ELEMENTARY STATISTICS,,50,0,30,1100,1215,Auditorium Building,528
,,T,,,,,CHICAGO CAMPUS,11700,ACSC,349,10,Evening,AS,REGRESSION & TIME SERIES,,20,0,24,1800,2030,Auditorium Building,314
,,T,,,,,CHICAGO CAMPUS,11699,MATH,349,10,Evening,AS,REGRESSION & TIME SERIES,,20,0,24,1800,2030,Auditorium Building,314
,,T,,,,,CHICAGO CAMPUS,11158,MATH,449,10,Evening,AS,REGRESSION & TIME SERIES,,20,0,24,1800,2030,Auditorium Building,314
,M,,W,,,,CHICAGO CAMPUS,10896,ART,215,1,Day,AU,PAINTING I,,20,0,18,1400,1645,Auditorium Building,452
